image_size_x,image_size_y,name,dial_visibility,dial_visibility_p_0,dial_visibility_p_1,like,like_p_0,like_p_1,image_quality
640,480,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/1815/a._lange_&_soehne_1815-67.jpg,1.0,0.4734090864658356,0.5265908241271973,-1.0,-1,-1,-1.0
1200,718,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/1815/a._lange_&_soehne_1815_206.025-8.jpg,0.0,0.4803459644317627,0.5196540355682373,-1.0,-1,-1,-1.0
640,480,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/1815/a._lange_&_soehne_1815_950_platin_handaufzug_herrenuhr__ref_206.025-12.jpg,0.0,0.4719423353672028,0.5280576944351196,-1.0,-1,-1,-1.0
640,480,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/1815/a._lange_&_soehne_1815_950_platin_handaufzug_herrenuhr__ref_206.025-15.jpg,0.0,0.4779661595821381,0.5220338106155396,-1.0,-1,-1,-1.0
640,480,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/1815/a._lange_&_soehne_1815_950_platin_handaufzug_herrenuhr__ref_206.025-3.jpg,0.0,0.4719423353672028,0.5280576944351196,-1.0,-1,-1,-1.0
640,480,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/1815/a._lange_&_soehne_1815_950_platin_handaufzug_herrenuhr__ref_206.025-6.jpg,0.0,0.4779661595821381,0.5220338106155396,-1.0,-1,-1,-1.0
700,700,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/1815/a._lange_&_soehne_1815_rattrapante_perpetual_calendar_421.025fe-6.jpg,0.0,0.4415397942066193,0.5584602355957031,-1.0,-1,-1,-1.0
613,800,"chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/1815/a._lange_&_soehne_1815_tourbillon,_silver_dial_-_rose_gold_on_strap-2.jpg",1.0,0.5894240736961365,0.4105759561061859,-1.0,-1,-1,-1.0
1280,580,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/1815/a._lange_&_soehne_1815_uebergross_18ct_weissgold-9.jpg,0.0,0.4473519325256348,0.5526480674743652,-1.0,-1,-1,-1.0
1200,933,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/1815/a._lange_&_soehne_1815_up_&_down_221.032-6.jpg,0.0,0.4803769290447235,0.5196230411529541,-1.0,-1,-1,-1.0
