image_size_x,image_size_y,name,dial_visibility,like,image_quality
960,960,nomos_1/nomos/_without_model/nomos_@_the_loupe_-_club_datum_dunkel_watch_--_774-1.jpg,1.0,1.0,1.0
960,960,nomos_1/nomos/_without_model/nomos_@_the_loupe_-_club_datum_dunkel_watch_--_774-2.jpg,1.0,0.0,1.0
960,960,nomos_1/nomos/_without_model/nomos_@_the_loupe_-_club_datum_dunkel_watch_--_774-3.jpg,0.0,0.0,0.0
720,960,nomos_1/nomos/_without_model/nomos_beta_11156_ludwig_datum-1.jpg,1.0,0.0,1.0
720,960,nomos_1/nomos/_without_model/nomos_beta_11156_ludwig_datum-2.jpg,1.0,0.0,1.0
720,960,nomos_1/nomos/_without_model/nomos_beta_11156_ludwig_datum-3.jpg,0.0,0.0,0.0
1280,960,nomos_1/nomos/_without_model/nomos_beta_11156_ludwig_datum-4.jpg,0.0,0.0,1.0
720,960,nomos_1/nomos/_without_model/nomos_beta_11156_ludwig_datum-5.jpg,1.0,0.0,1.0
720,960,nomos_1/nomos/_without_model/nomos_beta_11156_ludwig_datum-6.jpg,1.0,0.0,1.0
960,960,nomos_1/nomos/_without_model/nomos_black_horween_genuine_shell_cordovan-1.jpg,0.0,0.0,1.0
960,960,nomos_1/nomos/_without_model/nomos_black_horween_genuine_shell_cordovan-2.jpg,0.0,0.0,1.0
960,960,nomos_1/nomos/_without_model/nomos_black_horween_genuine_shell_cordovan-3.jpg,0.0,0.0,1.0
960,960,nomos_1/nomos/_without_model/nomos_black_horween_genuine_shell_cordovan-4.jpg,0.0,0.0,1.0
960,960,nomos_1/nomos/_without_model/nomos_blue_black_woven_textile-1.jpg,0.0,0.0,1.0
960,960,nomos_1/nomos/_without_model/nomos_blue_black_woven_textile-2.jpg,0.0,0.0,1.0
900,900,nomos_1/nomos/_without_model/nomos_glashutte_metro_chronometer-1.jpg,1.0,0.0,1.0
900,900,nomos_1/nomos/_without_model/nomos_glashutte_metro_chronometer-2.jpg,1.0,0.0,1.0
900,900,nomos_1/nomos/_without_model/nomos_glashutte_metro_chronometer-3.jpg,1.0,0.0,1.0
900,900,nomos_1/nomos/_without_model/nomos_glashutte_metro_chronometer-4.jpg,0.0,0.0,1.0
900,900,nomos_1/nomos/_without_model/nomos_glashutte_metro_chronometer-5.jpg,1.0,0.0,1.0
900,900,nomos_1/nomos/_without_model/nomos_glashutte_metro_chronometer-6.jpg,1.0,0.0,1.0
900,900,nomos_1/nomos/_without_model/nomos_glashutte_metro_chronometer-7.jpg,0.0,0.0,1.0
1280,960,nomos_1/nomos/_without_model/nomos_glashütte-1.jpg,1.0,0.0,1.0
1280,960,nomos_1/nomos/_without_model/nomos_glashütte-10.jpg,0.0,0.0,1.0
1280,960,nomos_1/nomos/_without_model/nomos_glashütte-11.jpg,0.0,0.0,1.0
1280,960,nomos_1/nomos/_without_model/nomos_glashütte-12.jpg,1.0,0.0,1.0
1280,960,nomos_1/nomos/_without_model/nomos_glashütte-13.jpg,1.0,0.0,1.0
1280,960,nomos_1/nomos/_without_model/nomos_glashütte-14.jpg,1.0,0.0,1.0
1280,960,nomos_1/nomos/_without_model/nomos_glashütte-15.jpg,1.0,0.0,1.0
1280,960,nomos_1/nomos/_without_model/nomos_glashütte-2.jpg,1.0,0.0,1.0
1280,960,nomos_1/nomos/_without_model/nomos_glashütte-3.jpg,0.0,0.0,1.0
