image_size,file_path,file_name,file_extension,file_size,watch_brand,watch_model,watch_name
"(720, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103-1.jpg,Sinn_103-1.jpg,.jpg,"(69.2, 'KB')",Sinn,103,['Sinn 103']
"(960, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103-10.jpg,Sinn_103-10.jpg,.jpg,"(123.1, 'KB')",Sinn,103,['Sinn 103']
"(720, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103-11.jpg,Sinn_103-11.jpg,.jpg,"(80.2, 'KB')",Sinn,103,['Sinn 103']
"(720, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103-12.jpg,Sinn_103-12.jpg,.jpg,"(84.2, 'KB')",Sinn,103,['Sinn 103']
"(720, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103-2.jpg,Sinn_103-2.jpg,.jpg,"(74.3, 'KB')",Sinn,103,['Sinn 103']
"(720, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103-3.jpg,Sinn_103-3.jpg,.jpg,"(63.5, 'KB')",Sinn,103,['Sinn 103']
"(1280, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103-4.jpg,Sinn_103-4.jpg,.jpg,"(120.1, 'KB')",Sinn,103,['Sinn 103']
"(1260, 893)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103-5.jpg,Sinn_103-5.jpg,.jpg,"(158.3, 'KB')",Sinn,103,['Sinn 103']
"(1191, 893)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103-6.jpg,Sinn_103-6.jpg,.jpg,"(98.9, 'KB')",Sinn,103,['Sinn 103']
"(843, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103-7.jpg,Sinn_103-7.jpg,.jpg,"(117.4, 'KB')",Sinn,103,['Sinn 103']
"(1008, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103-8.jpg,Sinn_103-8.jpg,.jpg,"(146.1, 'KB')",Sinn,103,['Sinn 103']
"(960, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103-9.jpg,Sinn_103-9.jpg,.jpg,"(82.2, 'KB')",Sinn,103,['Sinn 103']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103.B.SA.CR_White_Dial_Limited_Edition_to_100pcs-1.jpg,Sinn_103.B.SA.CR_White_Dial_Limited_Edition_to_100pcs-1.jpg,.jpg,"(122.9, 'KB')",Sinn,103,['Sinn 103.B.SA.CR White Dial Limited Edition to 100pcs']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103.B.SA.CR_White_Dial_Limited_Edition_to_100pcs-2.jpg,Sinn_103.B.SA.CR_White_Dial_Limited_Edition_to_100pcs-2.jpg,.jpg,"(107.5, 'KB')",Sinn,103,['Sinn 103.B.SA.CR White Dial Limited Edition to 100pcs']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103.B.SA.CR_White_Dial_Limited_Edition_to_100pcs-3.jpg,Sinn_103.B.SA.CR_White_Dial_Limited_Edition_to_100pcs-3.jpg,.jpg,"(105.5, 'KB')",Sinn,103,['Sinn 103.B.SA.CR White Dial Limited Edition to 100pcs']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103.B.SA.CR_White_Dial_Limited_Edition_to_100pcs-4.jpg,Sinn_103.B.SA.CR_White_Dial_Limited_Edition_to_100pcs-4.jpg,.jpg,"(104.7, 'KB')",Sinn,103,['Sinn 103.B.SA.CR White Dial Limited Edition to 100pcs']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103.B.SA.CR_White_Dial_Limited_Edition_to_100pcs-5.jpg,Sinn_103.B.SA.CR_White_Dial_Limited_Edition_to_100pcs-5.jpg,.jpg,"(93.4, 'KB')",Sinn,103,['Sinn 103.B.SA.CR White Dial Limited Edition to 100pcs']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103.B.SA.CR_White_Dial_Limited_Edition_to_100pcs-6.jpg,Sinn_103.B.SA.CR_White_Dial_Limited_Edition_to_100pcs-6.jpg,.jpg,"(75.7, 'KB')",Sinn,103,['Sinn 103.B.SA.CR White Dial Limited Edition to 100pcs']
